Frame	Bipolar	Scissors	Clipper	Irrigator	SpecimenBag	Preparation	CalotTriangleDissection	ClippingCutting	GallbladderDissection	GallbladderPackaging	CleaningCoagulation	GallbladderRetraction
0	5.0	5.0	5.0	5.0	5.0	0.0	1.6499999	5.0	5.0	5.0	5.0	5.0
1	5.0	5.0	5.0	5.0	5.0	0.0	1.6333332	5.0	5.0	5.0	5.0	5.0
2	5.0	5.0	5.0	5.0	5.0	0.0	1.6166666	5.0	5.0	5.0	5.0	5.0
3	5.0	5.0	5.0	5.0	5.0	0.0	1.5999999	5.0	5.0	5.0	5.0	5.0
4	5.0	5.0	5.0	5.0	5.0	0.0	1.5833333	5.0	5.0	5.0	5.0	5.0
5	5.0	5.0	5.0	5.0	5.0	0.0	1.5666666	5.0	5.0	5.0	5.0	5.0
6	5.0	5.0	5.0	5.0	5.0	0.0	1.55	5.0	5.0	5.0	5.0	5.0
7	5.0	5.0	5.0	5.0	5.0	0.0	1.5333333	5.0	5.0	5.0	5.0	5.0
8	5.0	5.0	5.0	5.0	5.0	0.0	1.5166667	5.0	5.0	5.0	5.0	5.0
9	5.0	5.0	5.0	5.0	5.0	0.0	1.5	5.0	5.0	5.0	5.0	5.0
10	5.0	5.0	5.0	5.0	5.0	0.0	1.4833333	5.0	5.0	5.0	5.0	5.0
11	5.0	5.0	5.0	5.0	5.0	0.0	1.4666667	5.0	5.0	5.0	5.0	5.0
12	5.0	5.0	5.0	5.0	5.0	0.0	1.45	5.0	5.0	5.0	5.0	5.0
13	5.0	5.0	5.0	5.0	5.0	0.0	1.4333333	5.0	5.0	5.0	5.0	5.0
14	5.0	5.0	5.0	5.0	5.0	0.0	1.4166666	5.0	5.0	5.0	5.0	5.0
15	5.0	5.0	5.0	5.0	5.0	0.0	1.4	5.0	5.0	5.0	5.0	5.0
16	5.0	5.0	5.0	5.0	5.0	0.0	1.3833333	5.0	5.0	5.0	5.0	5.0
17	5.0	5.0	5.0	5.0	5.0	0.0	1.3666667	5.0	5.0	5.0	5.0	5.0
18	5.0	5.0	5.0	5.0	5.0	0.0	1.35	5.0	5.0	5.0	5.0	5.0
19	5.0	5.0	5.0	5.0	5.0	0.0	1.3333334	5.0	5.0	5.0	5.0	5.0
20	5.0	5.0	5.0	5.0	5.0	0.0	1.3166667	5.0	5.0	5.0	5.0	5.0
21	5.0	5.0	5.0	5.0	5.0	0.0	1.3	5.0	5.0	5.0	5.0	5.0
22	5.0	5.0	5.0	5.0	5.0	0.0	1.2833333	5.0	5.0	5.0	5.0	5.0
23	5.0	5.0	5.0	5.0	5.0	0.0	1.2666667	5.0	5.0	5.0	5.0	5.0
24	5.0	5.0	5.0	5.0	5.0	0.0	1.25	5.0	5.0	5.0	5.0	5.0
25	5.0	5.0	5.0	5.0	5.0	0.0	1.2333333	5.0	5.0	5.0	5.0	5.0
26	5.0	5.0	5.0	5.0	5.0	0.0	1.2166667	5.0	5.0	5.0	5.0	5.0
27	5.0	5.0	5.0	5.0	5.0	0.0	1.2	5.0	5.0	5.0	5.0	5.0
28	5.0	5.0	5.0	5.0	5.0	0.0	1.1833333	5.0	5.0	5.0	5.0	5.0
29	5.0	5.0	5.0	5.0	5.0	0.0	1.1666666	5.0	5.0	5.0	5.0	5.0
30	5.0	5.0	5.0	5.0	5.0	0.0	1.15	5.0	5.0	5.0	5.0	5.0
31	5.0	5.0	5.0	5.0	5.0	0.0	1.1333333	5.0	5.0	5.0	5.0	5.0
32	5.0	5.0	5.0	5.0	5.0	0.0	1.1166667	5.0	5.0	5.0	5.0	5.0
